Section,Hierarchy depth,URL,Page title,Status,Primary keyword,Primary MSV,Existing position,Supporting keywords (top 7),Cluster volume,Intent,Notes
1. Home,0,https://studiohawk.com.au/,,Existing,seo company,1500,,,1500,commercial,
4. Categories / Services,1,https://studiohawk.com.au/content-marketing-services/,,Existing,content marketing services,2900,,,2900,commercial,
4. Categories / Services,2,https://studiohawk.com.au/content-marketing-services/blog-writing/,,Existing,content marketing services,2900,,,2900,commercial,
4. Categories / Services,2,https://studiohawk.com.au/content-marketing-services/ebooks/,,Existing,content marketing services,2900,,,2900,commercial,
4. Categories / Services,2,https://studiohawk.com.au/content-marketing-services/seo-copywriting/,,Existing,content marketing services,2900,,,2900,commercial,
4. Categories / Services,2,https://studiohawk.com.au/content-marketing-services/ux-design/,,Existing,content marketing services,2900,,,2900,commercial,
4. Categories / Services,3,https://studiohawk.com.au/migration/en/studiohawk-internal/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,4,https://studiohawk.com.au/migration/en/studiohawk-internal/kb-404/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,4,https://studiohawk.com.au/migration/en/studiohawk-internal/kb-search-results/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,1,https://studiohawk.com.au/seo-services/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/ai-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/app-store-optimisation/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/b2b-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/bigcommerce-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/chatgpt-optimisation/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/cryptocurrency-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/digital-pr/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/ecommerce-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/enterprise-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/gemini-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/headless-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/hubspot-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/international-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/link-building/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/local-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/magento-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/neto-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/reddit-seo-optimisation/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/reporting-analytics/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/saas-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/seo-consultant/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/seo-content-writing/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/seo-website-migrations/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/shopify-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/small-business-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/technical-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/woocommerce-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/wordpress-seo/,,Existing,seo services,1500,,,1500,commercial,
4. Categories / Services,2,https://studiohawk.com.au/seo-services/youtube-seo/,,Existing,seo services,1500,,,1500,commercial,
6. Locations,1,https://studiohawk.com.au/seo-adelaide/,,Existing,seo adelaide,0,,,0,commercial,
6. Locations,1,https://studiohawk.com.au/seo-brisbane/,,Existing,seo brisbane,2400,,,2400,commercial,
6. Locations,1,https://studiohawk.com.au/seo-canberra/,,Existing,seo canberra,0,,,0,commercial,
6. Locations,1,https://studiohawk.com.au/seo-gold-coast/,,Existing,seo gold coast,0,,,0,commercial,
6. Locations,1,https://studiohawk.com.au/seo-hobart/,,Existing,seo hobart,0,,,0,commercial,
6. Locations,1,https://studiohawk.com.au/seo-melbourne/,,Existing,seo melbourne,0,,,0,commercial,
6. Locations,1,https://studiohawk.com.au/seo-perth/,,Existing,seo perth,0,,,0,commercial,
6. Locations,1,https://studiohawk.com.au/seo-sunshine-coast/,,Existing,seo sunshine coast,0,,,0,commercial,
6. Locations,1,https://studiohawk.com.au/seo-sydney/,,Existing,seo sydney,0,,,0,commercial,
7. Blog / Resources,2,https://studiohawk.com.au/blog/7-mobile-seo-factors-for-ecommerce/,,Existing,7 mobile seo factors for ecommerce,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/building-a-culture-of-seo-in-enterprise-organisations/,,Existing,building a culture of seo in enterprise organisations,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/data-digital-pr/,,Existing,data digital pr,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/ecommerce-schema/,,Existing,ecommerce schema,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/education-purpose-with-moxie/,,Existing,education purpose with moxie,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/google-tag-manager-goal-tracking-setup/,,Existing,google tag manager goal tracking setup,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/how-to-do-international-seo-comprehensive-seo-whitepaper/,,Existing,how to do international seo comprehensive seo whitepaper,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/how-to-pitch-digital-pr/,,Existing,how to pitch digital pr,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/how-to-rank-in-chatgpt/,,Existing,how to rank in chatgpt,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/how-to-tell-if-seo-is-working-for-you/,,Existing,how to tell if seo is working for you,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/how-to-write-content-for-ai-mode/,,Existing,how to write content for ai mode,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/improve-blog-ccontent-with-an-seo-copywriter/,,Existing,improve blog ccontent with an seo copywriter,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/leading-through-change/,,Existing,leading through change,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/localising-content-global-markets/,,Existing,localising content global markets,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/newsjacking-for-digital-pr/,,Existing,newsjacking for digital pr,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/product-page-seo/,,Existing,product page seo,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/seo-conference/,,Existing,seo conference,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/unlock-revenue-with-local-seo-for-ecommerce/,,Existing,unlock revenue with local seo for ecommerce,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/what-does-an-seo-specialist-do/,,Existing,what does an seo specialist do,0,,,0,informational,
7. Blog / Resources,2,https://studiohawk.com.au/blog/what-to-do-after-keyword-research/,,Existing,what to do after keyword research,0,,,0,informational,
8. Static pages,1,https://studiohawk.com.au/336f96c2-012b-4b9a-af4e-e678856d0adb/,,Existing,336f96c2 012b 4b9a af4e e678856d0adb,0,,,0,navigational,
8. Static pages,2,https://studiohawk.com.au/about-us/alex-marangi/,,Existing,alex marangi,0,,,0,navigational,
8. Static pages,2,https://studiohawk.com.au/about-us/bonnie-house/,,Existing,bonnie house,0,,,0,navigational,
8. Static pages,2,https://studiohawk.com.au/about-us/dineth-rajapakse/,,Existing,dineth rajapakse,0,,,0,navigational,
8. Static pages,2,https://studiohawk.com.au/about-us/fernando-velagonzalez/,,Existing,fernando velagonzalez,0,,,0,navigational,
8. Static pages,2,https://studiohawk.com.au/about-us/jaime-lee/,,Existing,jaime lee,0,,,0,navigational,
8. Static pages,2,https://studiohawk.com.au/about-us/james-griffin/,,Existing,james griffin,0,,,0,navigational,
8. Static pages,2,https://studiohawk.com.au/about-us/karl-zaharopoulos/,,Existing,karl zaharopoulos,0,,,0,navigational,
8. Static pages,2,https://studiohawk.com.au/about-us/kay-chua/,,Existing,kay chua,0,,,0,navigational,
8. Static pages,2,https://studiohawk.com.au/about-us/sam-smith/,,Existing,sam smith,0,,,0,navigational,
8. Static pages,2,https://studiohawk.com.au/about-us/steph-hoang/,,Existing,steph hoang,0,,,0,navigational,
8. Static pages,2,https://studiohawk.com.au/about-us/tyler-waugh/,,Existing,tyler waugh,0,,,0,navigational,
8. Static pages,1,https://studiohawk.com.au/ai-seo-toolkit/,,Existing,ai seo toolkit,0,,,0,navigational,
8. Static pages,1,https://studiohawk.com.au/contact-us/,,Existing,contact us,0,,,0,navigational,
8. Static pages,1,https://studiohawk.com.au/seo-roi-calculator/,,Existing,seo roi calculator,0,,,0,navigational,
9. Admin / Policy,1,https://studiohawk.com.au/-local-seo-ai-toolkit-thank-you-page/,,Not mapped — admin/policy page,,,,,0,,
9. Admin / Policy,1,https://studiohawk.com.au/-thank-you-ecommerce-pack-download/,,Not mapped — admin/policy page,,,,,0,,
9. Admin / Policy,1,https://studiohawk.com.au/ai-search-whitepaper-download/,,Not mapped — admin/policy page,,,,,0,,
9. Admin / Policy,1,https://studiohawk.com.au/ai-toolkit-thank-you-page/,,Not mapped — admin/policy page,,,,,0,,
9. Admin / Policy,1,https://studiohawk.com.au/local-ai-seo-toolkit-download/,,Not mapped — admin/policy page,,,,,0,,
9. Admin / Policy,1,https://studiohawk.com.au/seo-migration-whitepaper-download/,,Not mapped — admin/policy page,,,,,0,,
9. Admin / Policy,1,https://studiohawk.com.au/seo-whitepaper-build-brand-authority/,,Not mapped — admin/policy page,,,,,0,,
9. Admin / Policy,1,https://studiohawk.com.au/thank-you-for-downloading/,,Not mapped — admin/policy page,,,,,0,,
9. Admin / Policy,1,https://studiohawk.com.au/thank-you-for-downloading/,,Not mapped — admin/policy page,,,,,0,,
9. Admin / Policy,1,https://studiohawk.com.au/thank-you-form-subscription/,,Not mapped — admin/policy page,,,,,0,,
9. Admin / Policy,1,https://studiohawk.com.au/thank-you-form/,,Not mapped — admin/policy page,,,,,0,,
9. Admin / Policy,1,https://studiohawk.com.au/thank-you-white-paper/,,Not mapped — admin/policy page,,,,,0,,
3. Case studies,1,https://studiohawk.com.au/case-studies/,,Existing,case studies,0,,,0,commercial,
3. Case studies,2,https://studiohawk.com.au/case-studies/addicted-to-audio/,,Existing,addicted to audio,0,,,0,commercial,
3. Case studies,2,https://studiohawk.com.au/case-studies/black-pepper/,,Existing,black pepper,0,,,0,commercial,
3. Case studies,2,https://studiohawk.com.au/case-studies/bondi-sands/,,Existing,bondi sands,0,,,0,commercial,
3. Case studies,2,https://studiohawk.com.au/case-studies/clarks/,,Existing,clarks,0,,,0,commercial,
3. Case studies,2,https://studiohawk.com.au/case-studies/de-bortoli-wine/,,Existing,de bortoli wine,0,,,0,commercial,
3. Case studies,2,https://studiohawk.com.au/case-studies/gami-chicken/,,Existing,gami chicken,0,,,0,commercial,
3. Case studies,2,https://studiohawk.com.au/case-studies/learnmate/,,Existing,learnmate,0,,,0,commercial,
3. Case studies,2,https://studiohawk.com.au/case-studies/life-supports/,,Existing,life supports,0,,,0,commercial,
3. Case studies,2,https://studiohawk.com.au/case-studies/medcart/,,Existing,medcart,0,,,0,commercial,
3. Case studies,2,https://studiohawk.com.au/case-studies/national-accounts/,,Existing,national accounts,0,,,0,commercial,
3. Case studies,2,https://studiohawk.com.au/case-studies/zea-relief/,,Existing,zea relief,0,,,0,commercial,
2. Sectors / Industries,1,https://studiohawk.com.au/industry/,,Existing,industry,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/accountant-seo/,,Existing,accountant seo,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/education-seo/,,Existing,education seo,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/fashion-seo/,,Existing,fashion seo,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/hospitality-seo/,,Existing,hospitality seo,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/insurance-seo/,,Existing,insurance seo,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/ndis-seo/,,Existing,ndis seo,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/retail-seo/,,Existing,retail seo,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/seo-for-aged-care/,,Existing,seo for aged care,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/seo-for-automotive/,,Existing,seo for automotive,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/seo-for-dentists/,,Existing,seo for dentists,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/seo-for-franchise/,,Existing,seo for franchise,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/seo-for-hotels/,,Existing,seo for hotels,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/seo-for-jewellery/,,Existing,seo for jewellery,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/seo-for-lawyers/,,Existing,law firm seo,590,,,590,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/seo-for-mortgage-brokers/,,Existing,seo for mortgage brokers,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/seo-for-real-estate/,,Existing,seo for real estate,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/seo-for-tradies/,,Existing,seo for tradies,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/seo-for-travel/,,Existing,seo for travel,0,,,0,commercial,
2. Sectors / Industries,2,https://studiohawk.com.au/industry/solar-seo/,,Existing,solar seo,0,,,0,commercial,
2. Sectors / Industries,1,https://studiohawk.com.au/seo-for-doctors/,,Existing,healthcare seo,110,,,110,commercial,
2. Sectors / Industries,1,https://studiohawk.com.au/seo-for-florists/,,Existing,seo for florists,0,,,0,commercial,
2. Sectors / Industries,1,https://studiohawk.com.au/seo-for-government/,,Existing,seo for government,0,,,0,commercial,
