URL,Seed,Keyword,MSV,Intent,Decision,Reason
https://koalaliving.com.au/collections/lounge/,lounge,lounge,74000,commercial,KEEP,High-volume category — build landing page (gap)
https://koalaliving.com.au/collections/rug/,rug,rug,74000,commercial,KEEP,High-volume category — build landing page (gap)
https://koalaliving.com.au/collections/coffee-table/,coffee table,coffee table,74000,commercial,KEEP,High-volume category — build landing page (gap)
https://koalaliving.com.au/collections/bed-frame/,bed frame,bed frame,60500,commercial,KEEP,High-volume category — build landing page (gap)
https://koalaliving.com.au/collections/mattress/,mattress,mattress,60500,commercial,KEEP,High-volume category — build landing page (gap)
https://koalaliving.com.au/collections/dining-table/,dining table,dining table,49500,commercial,KEEP,High-volume category — build landing page (gap)
https://koalaliving.com.au/collections/bedroom-furniture/,bedroom furniture,bedroom furniture,47500,commercial,KEEP,High-volume category — build landing page (gap)
https://koalaliving.com.au/collections/outdoor-furniture/,outdoor furniture,outdoor furniture,22400,commercial,KEEP,High-volume category — build landing page (gap)
https://koalaliving.com.au/collections/vase/,vase,vase,20100,commercial,KEEP,High-volume category — build landing page (gap)
https://koalaliving.com.au/blog/styling-notes/ultimate-guide-living-room-rug-placement/,ultimate guide living room rug placement,ultimate guide living room rug placement,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/buying-guides/understanding-different-types-of-leather-used-in-sofas/,understanding different types of leather used in sofas,understanding different types of leather used in sofas,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/styling-notes/styling-guide-mastering-monochrome-in-home-decor/,styling guide mastering monochrome in home decor,styling guide mastering monochrome in home decor,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/styling-notes/fabric-vs-leather-finding-the-right-sofa-for-your-style/,fabric vs leather finding the right sofa for your style,fabric vs leather finding the right sofa for your style,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/how-to/how-to-make-a-positive-home-during-lockdown/,how to make a positive home during lockdown,how to make a positive home during lockdown,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/styling-notes/luxe-home-offices-for-productivity/,luxe home offices for productivity,luxe home offices for productivity,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/styling-notes/styling-guide-for-the-minimalist-home-aesthetic/,styling guide for the minimalist home aesthetic,styling guide for the minimalist home aesthetic,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/styling-notes/gold-silver-and-brass-how-to-mix-metals-when-styling-your-home/,gold silver and brass how to mix metals when styling your ho,gold silver and brass how to mix metals when styling your ho,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/styling-notes/furnishing-ideas-to-create-an-entertaining-outdoor-area/,furnishing ideas to create an entertaining outdoor area,furnishing ideas to create an entertaining outdoor area,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/styling-notes/artificial-plants-and-furniture-creating-a-green-home/,artificial plants and furniture creating a green home,artificial plants and furniture creating a green home,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/styling-notes/the-art-of-arranging-furniture-for-an-open-living-space/,the art of arranging furniture for an open living space,the art of arranging furniture for an open living space,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/styling-notes/7-furniture-trends-in-2024-to-revamp-your-home/,7 furniture trends in 2024 to revamp your home,7 furniture trends in 2024 to revamp your home,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/buying-guides/all-about-velvet-furniture/,all about velvet furniture,all about velvet furniture,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/blog/how-to/how-to-host-the-perfect-easter-brunch/,how to host the perfect easter brunch,how to host the perfect easter brunch,TBC,informational,KEEP,Blog/guide — keep
https://koalaliving.com.au/storelocator/new-south-wales/Moore-Park/,furniture store moore,furniture store moore,TBC,commercial,KEEP,Local store page — keep
https://koalaliving.com.au/storelocator/new-south-wales/artarmon-home-hq/,furniture store artarmon,furniture store artarmon,TBC,commercial,KEEP,Local store page — keep
https://koalaliving.com.au/storelocator/western-australia/cannington/,furniture store cannington,furniture store cannington,TBC,commercial,KEEP,Local store page — keep
https://koalaliving.com.au/storelocator/victoria/clearance-outlet-altona/,furniture store clearance,furniture store clearance,TBC,commercial,KEEP,Local store page — keep
https://koalaliving.com.au/storelocator/south-australia/payneham-service-trade-center/,furniture store payneham,furniture store payneham,TBC,commercial,KEEP,Local store page — keep
https://koalaliving.com.au/storelocator/new-south-wales/primewest-auburn-megamall/,furniture store primewest,furniture store primewest,TBC,commercial,KEEP,Local store page — keep
https://koalaliving.com.au/storelocator/new-south-wales/castle-hill-super-centre/,furniture store castle,furniture store castle,TBC,commercial,KEEP,Local store page — keep
https://koalaliving.com.au/storelocator/victoria/springvale-homemaker-centre/,furniture store springvale,furniture store springvale,TBC,commercial,KEEP,Local store page — keep
https://koalaliving.com.au/storelocator/victoria/south-wharf-dfo/,furniture store south,furniture store south,TBC,commercial,KEEP,Local store page — keep
https://koalaliving.com.au/storelocator/victoria/maribyrnong-homemaker-centre/,furniture store maribyrnong,furniture store maribyrnong,TBC,commercial,KEEP,Local store page — keep
https://koalaliving.com.au/virtual-consultation/,virtual consultation,virtual consultation,TBC,navigational,KEEP,Static/brand page — keep
https://koalaliving.com.au/membership/,membership,membership,TBC,navigational,KEEP,Static/brand page — keep
https://koalaliving.com.au/appointment/,appointment,appointment,TBC,navigational,KEEP,Static/brand page — keep
https://koalaliving.com.au/helpcenter/,helpcenter,helpcenter,TBC,navigational,KEEP,Static/brand page — keep
https://koalaliving.com.au/trade-program/,trade program,trade program,TBC,navigational,KEEP,Static/brand page — keep
https://koalaliving.com.au/contact-us/,contact us,contact us,TBC,navigational,KEEP,Static/brand page — keep
