Section,Hierarchy depth,URL,Page title,Status,Primary keyword,Primary MSV,Existing position,Supporting keywords (top 7),Cluster volume,Intent,Notes
5. Product detail,1,https://koalaliving.com.au/Albany-Charcoal-Woven-Right-Chaise-Lounge/,,Existing,albany charcoal woven right chaise lounge,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Amity-Pearl-Beige-Fabric-Right-Chaise-Module/,,Existing,amity pearl beige fabric right chaise module,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Antelope-Woven-Fabric-Cushion-30x50/,,Existing,antelope woven fabric cushion 30x50,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Archie-Black-Sintered-Stone-Dining-Table-Black-Legs/,,Existing,archie black sintered stone dining table black legs,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Archie-Statuario-White-Sintered-Stone-Console-Table-Single Leg/,,Existing,archie statuario white sintered stone console table single l,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Archie-White-Sintered-Stone-Dining-Table-Matte-Black-Legs-268-x-118-cm/,,Existing,archie white sintered stone dining table matte black legs 26,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Archie-White-Sintered-Stone-Entertainment-Unit/,,Existing,archie white sintered stone entertainment unit,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Axis-Dolomite-Shadow-Box-with-Antique-Brown-PS-Frame/,,Existing,axis dolomite shadow box with antique brown ps frame,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Belgian-Chocolate-Chenille-Cushion-50x50/,,Existing,belgian chocolate chenille cushion 50x50,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Bordeaux-Red-Chenille-Fabric-Cushion-40x60/,,Existing,bordeaux red chenille fabric cushion 40x60,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Calma-Fusion-Grey-Fabric-Modular-Sofa-Left-Arm/,,Existing,calma fusion grey fabric modular sofa left arm,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Calma-Pearl-Beige-Fabric-3-Pieces-Modular-Sofa/,,Existing,calma pearl beige fabric 3 pieces modular sofa,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Capri-Copper-Brown-Velveteen-3-Pieces-Sofa/,,Existing,capri copper brown velveteen 3 pieces sofa,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Deacon-Antique-Gold-Vase/,,Existing,deacon antique gold vase,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Elva-Green-Pastel-Leather-2-Seater-Sofa/,,Existing,elva green pastel leather 2 seater sofa,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Estelle-Velvet-Mustard-Velveteen-Fabric-King-Bed/,,Existing,estelle velvet mustard velveteen fabric king bed,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Glora-Sand-Beige-Vegan-Leather-Dining-Chair-Ebony-Brown-Ash-Legs/,,Existing,glora sand beige vegan leather dining chair ebony brown ash ,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Graphite-Dream-Floor-Rug-Z1111-WM3C3-DC/,,Existing,graphite dream floor rug z1111 wm3c3 dc,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Harbon-Floor-Rug---Large-250x350/,,Existing,harbon floor rug large 250x350,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Kelly-Charcoal-Velvet-2-Seater-Sofa-Black-Nickel-Legs/,,Existing,kelly charcoal velvet 2 seater sofa black nickel legs,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Kelly-Navy-Blue-Velvet-Ottoman/,,Existing,kelly navy blue velvet ottoman,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Maddie-Curved-Charcoal-Velvet-3-Seater-Sofa/,,Existing,maddie curved charcoal velvet 3 seater sofa,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Maison-Piaza-White-Fabric-Modular-Sofa/,,Existing,maison piaza white fabric modular sofa,0,,,0,commercial,
5. Product detail,1,https://koalaliving.com.au/Marvie-Champagne-Beige-Semi-Aniline-Leather-2-Pieces-Modular-Sofa/,,Existing,marvie champagne beige semi aniline leather 2 pieces modular,0,,,0,commercial,
